,Ticker,Exchange,Name,Clean_Name
373,AUTO,LDN , Auto Trader Group PLC, Auto Trader Group
374,BME,LDN , B&M European Value Retail PLC, B&M European Value Retail
375,BCP,ENXL , Banco Comercial Portugues, Banco Comercial Portugues
376,BEZ,LDN , Beazley PLC, Beazley
377,BWY,LDN , Bellway PLC, Bellway
378,BOKA,ENXA , Koninklijke Boskalis Westminster Nv, Koninklijke Boskalis Westminster
379,CO,ENXP , Casino Guichard-P, Casino Guichard-P
380,DPH,LDN , Dechra Pharmaceuticals PLC, Dechra Pharmaceuticals
381,DIA,MIL , Diasorin, Diasorin
382,DKSH,SIX , DKSH Holding Ag, Dksh Holding
383,DUFN,SIX , Dufry Ag, Dufry
384,ELIS,ENXP , Elis, Elis
385,ENX,ENXP , Euronext, Euronext
386,ETL,ENXP , Eutelsat Communications, Eutelsat Communications
387,EO,ENXP , Faurecia Se, Faurecia
388,FHZN,SIX , Flughafen Zurich Ag, Flughafen Zurich
389,GLPG,ENXA , Galapagos, Galapagos
390,GN,OMXC , GN Store Nord A/S, Gn Store Nord
391,GPOR,LDN , Great Portland Estates PLC, Great Portland Estates
392,GRG,LDN , Greggs PLC, Greggs
393,HAS,LDN , Hays PLC, Hays
394,HER,MIL , Hera Spa, Hera Spa
395,HIK,LDN , Hikma Pharmaceuticals PLC, Hikma Pharmaceuticals
396,HSV,LDN , Homeserve PLC, Homeserve
397,INDUC,OMX , Industrivarden Ab, Industrivarden
398,IP,MIL , Interpump Group, Interpump Group
399,INVP,LDN , Investec PLC, Investec
400,ISS,OMXC , ISS AS, ISS AS
401,IG,MIL , Italgas, Italgas
402,JYSK,OMXC , Jyske Bank As, Jyske Bank As
403,KINV/B,OMX , Kinnevik 'B', Kinnevik 'B'
404,MMB,ENXP , Lagardere Groupe, Lagardere Groupe
405,LOGN,SIX , Logitech International Sa, Logitech International
406,EMG,LDN , Man Group PLC, Man Group
407,MGGT,LDN , Meggitt PLC, Meggitt
408,MRLN,ESP , Merlin Properties Reit, Merlin Properties Reit
409,PNDORA,OMXC , Pandora A/S, Pandora
410,POLY,LDN , Polymetal International PLC, Polymetal International
411,QLT,LDN , Quilter Plc, Quilter
412,RMV,LDN , Rightmove PLC, Rightmove
413,SALM,OSLO , Salmar Asa, Salmar
414,SECUB,OMX , Securitas Ab, Securitas
415,LIGHT,ENXA , Signify Nv, Signify
416,SKA/B,OMX , Skanska Ab, Skanska
417,SOF,ENXB , Sofina Sa, Sofina
418,SXS,LDN , Spectris PLC, Spectris
419,SSPG,LDN , SSP Group PLC, Ssp Group
420,SUBC,OSLO , Subsea 7 Sa, Subsea 7
421,SCAB,OMX , SCA Ab, Sca
422,SOBI,OMX , Swedish Orphan Biovitrum Ab, Swedish Orphan Biovitrum
423,SPSN,SIX , Swiss Prime Site, Swiss Prime Site
424,TPK,LDN , Travis Perkins PLC, Travis Perkins
425,TRELB,OMX , Trelleborg Ab, Trelleborg
426,VCT,LDN , Victrex PLC, Victrex
427,MFF,ENXP , Wendel, Wendel
428,SMWH,LDN , WH Smith PLC, Wh Smith
429,AAK,OMX , Aarhuskarlshamn Ab, Aarhuskarlshamn
